datetime,condtemp2019,condtemp2018,condtemp2017,condtemp2016,condtemp2015,condtemp2014,condtemp2013,condtemp2012,condtemp2011,condtemp2010,condtemp2009,condtemp2008,condtemp2007,condtemp2006,condtemp2005,condtemp2004,condtemp2003,condtemp2002,condtemp2001,condtemp2000,condtemp1999,condtemp1998,condtemp1997,condtemp1996,condtemp1995,condtemp1994,condtemp1993,condtemp1992,condtemp1991,condtemp1990
01/01/1980 00:00,28.08,28.181,28.08,27.254,27.971,26.844,28.08,25.836,28.08,24.955,20.192,20.002,28.08,23.557,20.027,21.731,21.652,26.15,28.08,22.963,24.418,21.487,24.865,28.08,28.08,22.957,NaN,28.08,28.08,NaN
01/01/1980 01:00,35.42,35.42,35.42,33.984,35.259,33.067,35.902,33.217,35.42,29.606,20.356,20.005,35.42,26.7,20.092,23.867,22.735,30.169,35.42,26.109,28.16,22.697,29.113,35.42,35.42,26.108,NaN,35.42,35.42,NaN
01/01/1980 02:00,40.726,40.726,40.726,39.635,41.052,35.081,30.373,40.663,40.726,32.503,20.443,20.013,40.726,27.267,21.614,27.331,21.149,24.267,40.726,32.159,28.405,22.74,31.646,41.12,40.726,31.994,NaN,40.726,40.726,NaN
01/01/1980 03:00,44.461,44.461,44.461,43.039,44.461,37.493,30.444,44.634,44.461,32.277,20.57,20.02,44.461,29.002,22.246,29.09,21.111,24.605,44.461,34.629,29.914,23.302,33.552,44.862,44.461,34.9,NaN,44.461,44.461,NaN
01/01/1980 04:00,47.125,47.125,47.125,32.783,47.125,39.995,25.638,47.125,47.125,29.047,21.012,20.144,47.125,33.017,26.364,38.044,20.567,26.977,47.125,36.865,32.376,25.584,32.715,47.125,47.125,39.287,NaN,47.125,47.125,NaN
01/01/1980 05:00,49.083,49.083,49.083,32.145,49.083,42.076,24.014,49.083,49.083,29.007,21.149,20.192,49.083,33.736,27.33,40.433,20.55,29.949,49.083,37.955,33.892,26.523,32.596,49.083,49.083,40.076,NaN,49.083,49.083,NaN
01/01/1980 06:00,50.576,50.576,50.576,27.025,50.576,47.244,21.39,50.576,50.576,28.617,21.357,20.768,50.576,31.061,30.505,47.498,20.415,46.579,50.576,40.138,38.446,32.297,26.978,50.576,50.576,34.233,NaN,50.576,50.576,NaN
01/01/1980 07:00,51.762,51.762,51.762,25.972,51.762,49.423,21.331,51.762,51.762,28.779,21.266,20.877,51.762,30.973,31.515,49.643,20.404,50.652,51.762,40.651,39.818,33.424,26.46,51.762,51.762,33.394,NaN,51.762,51.762,NaN
01/01/1980 08:00,52.739,52.739,52.739,21.361,52.739,50.446,21.619,52.739,52.739,27.853,20.683,21.311,52.739,29.516,36.142,50.783,20.667,52.739,52.739,36.511,43.455,37.907,23.333,52.739,52.739,27.194,20.043,52.739,52.739,NaN
01/01/1980 09:00,53.57,53.57,53.57,21.002,53.57,51.462,21.931,53.57,53.57,27.186,20.668,21.157,53.57,29.552,37.035,51.672,20.969,53.57,53.57,35.932,43.346,38.847,22.904,53.57,53.57,26.856,20.046,53.57,53.57,NaN
01/01/1980 10:00,54.297,54.297,54.099,20.053,54.297,49.74,22.857,54.769,54.297,23.276,20.539,20.416,54.297,25.396,43.547,51.724,22.239,54.297,54.297,48.134,35.166,43.07,21.571,54.769,54.297,23.29,20.052,54.297,54.297,20.046
01/01/1980 11:00,54.945,54.945,53.569,20.048,54.945,50.691,23.123,55.087,54.945,22.673,20.563,20.344,54.945,25.352,44.507,51.94,22.315,54.945,54.945,49.089,35.739,44.039,21.219,55.049,54.945,23.34,20.054,54.945,54.945,20.046
01/01/1980 12:00,55.533,55.533,41.753,NaN,55.533,53.775,26.084,54.88,55.533,21.798,20.689,20.109,55.533,22.45,54.746,52.722,23.319,55.533,55.533,42.292,34.806,43.748,20.107,56.402,55.533,23.673,20.071,55.533,55.533,20.047
01/01/1980 13:00,56.072,56.072,35.617,NaN,56.072,52.108,28.771,55.105,56.072,21.625,20.679,20.097,56.072,21.916,53.704,53.365,24.056,56.072,56.072,41.857,35.376,43.592,20.08,56.779,56.072,23.748,20.088,56.072,56.072,20.048
01/01/1980 14:00,56.571,56.571,23.325,NaN,56.571,53.426,34.214,54.561,56.571,22.443,20.541,20.066,56.571,20.413,56.571,53.66,30.497,56.571,56.571,36.284,34.54,42.518,20.02,57.616,56.571,24.091,20.293,56.571,50.798,20.054
01/01/1980 15:00,57.037,57.037,23.573,NaN,57.037,54.513,37.884,54.348,57.037,23.076,20.541,20.074,57.037,20.342,57.037,54.378,32.148,57.037,57.037,34.776,35.149,42.832,20.021,59.03,57.037,24.049,20.332,57.037,50.741,20.059
