datetime,wind speed2019,wind speed2018,wind speed2017,wind speed2016,wind speed2015,wind speed2014,wind speed2013,wind speed2012,wind speed2011,wind speed2010,wind speed2009,wind speed2008,wind speed2007,wind speed2006,wind speed2005,wind speed2004;;;;;;;
01/01/2019 00:00,13.89,16.22,14.58,12.39,13.516,11.62,15.516,11.0,16.23;11.02;6.723;5.055;20.56;10.695;5.07;8.414
01/01/2019 01:00,14.586,16.4,14.58,12.5,13.56,11.7,13.8,11.914,16.25;11.0;6.734;5.17;20.42;10.75;5.6;8.78
01/01/2019 02:00,16.81,16.7,14.56,13.0,13.94,11.68,11.45,13.664,16.42;10.766;6.984;5.59;21.36;10.7;7.67;9.67
01/01/2019 03:00,17.12,16.7,14.586,12.93,14.086,11.59,11.055,13.81,16.52;10.34;7.11;5.742;21.6;10.81;7.965;9.75
01/01/2019 04:00,16.23,16.58,14.9,11.95,14.61,11.41,9.64,14.68,15.79;9.78;7.574;6.47;22.34;11.27;9.164;10.805
01/01/2019 05:00,16.38,16.38,14.87,11.53,14.66,11.58,8.94,14.84,15.305;9.66;7.68;6.625;22.56;11.26;9.375;11.055
01/01/2019 06:00,18.25,16.73,14.71,9.31,15.0,12.07,7.492,14.73,14.875;9.49;7.906;6.824;22.52;10.83;9.766;11.91
01/01/2019 07:00,18.4,17.1,14.79,9.0,14.94,12.3,7.32,14.66,14.69;9.414;7.76;6.758;22.34;10.67;9.94;12.11
01/01/2019 08:00,18.5,18.02,14.84,7.117,15.82,12.26,7.32,14.766,14.53;9.06;7.11;6.375;21.48;10.016;10.766;12.91
01/01/2019 09:00,18.53,17.86,14.82,6.82,15.8,12.11,7.547,14.664,14.625;8.77;7.086;6.31;21.25;9.95;10.89;12.95
01/01/2019 10:00,19.1,16.56,13.625,4.72,15.56,12.03,7.53,13.91,14.55;7.9;7.26;5.76;21.42;9.55;11.47;12.72
01/01/2019 11:00,18.5,16.77,13.17,4.617,15.56,12.16,7.57,13.766,14.6;7.58;7.234;5.562;21.0;9.39;11.56;12.586
01/01/2019 12:00,16.16,18.19,10.6,3.887,15.91,12.25,8.29,13.45,14.82;7.24;6.84;4.773;19.64;7.914;12.484;12.67
01/01/2019 13:00,16.12,18.7,10.1,3.69,15.93,12.3,9.15,13.336,14.78;7.324;6.777;4.625;19.66;7.508;12.836;12.72
01/01/2019 14:00,14.83,21.05,8.43,2.379,16.56,12.586,10.17,12.97,14.97;7.86;6.6;4.49;19.11;6.137;14.016;12.664
01/01/2019 15:00,14.62,20.88,8.3,2.139,16.72,12.805,10.67,12.75,15.03;7.973;6.57;4.723;19.27;5.91;14.17;12.76
01/01/2019 16:00,14.2,21.34,7.83,1.99,17.7,13.91,11.63,12.67,14.99;8.06;5.91;5.547;19.44;5.43;14.34;13.5
01/01/2019 17:00,13.92,21.44,7.45,2.285,17.72,14.22,12.07,12.92,14.875;8.17;5.5;5.688;19.28;5.414;14.766;13.71
01/01/2019 18:00,11.805,21.25,6.047,4.285,18.39,15.32,12.81,12.67,14.4;8.016;4.004;6.14;19.62;5.336;15.875;14.04
01/01/2019 19:00,11.266,21.4,6.383,4.844,18.64,15.39,12.56,12.52,14.0;7.688;3.807;6.3;19.02;5.363;16.44;13.945
01/01/2019 20:00,9.25,22.33,8.5,7.17,19.72,15.95,12.73,10.17,13.82;6.836;3.01;6.832;16.75;5.72;18.62;13.5
01/01/2019 21:00,9.16,22.44,8.67,7.332,19.8,15.97,13.64,8.836,13.71;6.344;2.914;6.926;16.86;5.938;18.97;13.37
01/01/2019 22:00,9.43,23.12,10.25,8.76,21.28,16.2,14.2,7.258,13.32;5.14;3.574;7.516;18.36;6.98;21.3;13.8
01/01/2019 23:00,9.11,23.5,10.52,8.945,21.66,16.52,13.75,8.01,13.875;4.887;3.75;7.402;18.1;7.152;21.1;13.484
02/01/2019 00:00,7.668,23.38,12.25,11.17,24.11,16.98,13.97,9.34,14.57;4.95;4.746;6.953;15.6;7.562;20.8;12.24
02/01/2019 01:00,7.715,22.38,12.58,11.48,23.8,16.94,14.6,10.96,14.11;5.125;5.242;6.88;15.14;7.734;21.03;12.24
02/01/2019 02:00,8.766,20.92,12.65,12.41,23.39,17.31,14.336,12.836,13.92;5.11;6.86;6.984;14.06;8.39;20.48;12.234
02/01/2019 03:00,8.766,20.94,12.34,12.7,23.39,17.25,13.164,12.625,14.016;4.793;6.93;7.277;13.83;8.38;20.75;12.1
02/01/2019 04:00,8.94,19.97,11.28,14.36,22.69,16.5,12.49,11.08,13.984;4.277;7.17;8.63;13.72;8.34;20.02;11.2
02/01/2019 05:00,9.12,19.34,11.305,14.68,22.42,16.42,12.69,10.67,13.74;4.2;7.336;9.055;13.98;8.26;20.33;11.08
02/01/2019 06:00,9.445,16.94,11.266,16.25,21.66,16.36,12.12,10.33,13.44;4.2;7.613;10.45;15.266;7.758;20.48;11.12
02/01/2019 07:00,9.42,16.7,10.88,16.47,21.39,16.27,11.3,10.29,13.2;4.28;7.453;10.484;15.19;7.613;20.53;11.16
02/01/2019 08:00,8.99,15.14,9.055,17.6,20.94,15.516,11.05,10.17,12.64;4.42;6.484;10.56;13.97;7.133;20.6;11.14
02/01/2019 09:00,8.72,14.74,8.78,17.75,20.84,15.26,11.07,10.055,12.266;4.3;6.203;10.63;13.766;7.055;20.7;11.02
02/01/2019 10:00,9.16,12.44,10.08,18.55,21.77,14.61,11.28,9.664,11.39;5.39;4.984;11.91;13.336;6.812;19.12;10.35
02/01/2019 11:00,9.48,12.164,10.734,18.5,21.83,14.23,11.0,9.445,11.54;5.234;4.59;11.734;13.02;6.5;19.6;10.28
02/01/2019 12:00,10.45,10.28,12.55,18.77,20.78,12.58,11.195,10.08,11.76;4.844;3.652;11.19;10.734;5.434;21.5;9.59
