datetime,wind speed2019,wind speed2018,wind speed2017,wind speed2016,wind speed2015
01/01/2019 00:00,13.89,16.22,14.58,12.39,13.516
01/01/2019 01:00,14.586,16.4,14.58,12.5,13.56
01/01/2019 02:00,16.81,16.7,14.56,13.0,13.94
01/01/2019 03:00,17.12,16.7,14.586,12.93,14.086
01/01/2019 04:00,16.23,16.58,14.9,11.95,14.61
01/01/2019 05:00,16.38,16.38,14.87,11.53,14.66
01/01/2019 06:00,18.25,16.73,14.71,9.31,15.0
01/01/2019 07:00,18.4,17.1,14.79,9.0,14.94
01/01/2019 08:00,18.5,18.02,14.84,7.117,15.82
01/01/2019 09:00,18.53,17.86,14.82,6.82,15.8
01/01/2019 10:00,19.1,16.56,13.625,4.72,15.56
01/01/2019 11:00,18.5,16.77,13.17,4.617,15.56
01/01/2019 12:00,16.16,18.19,10.6,3.887,15.91
01/01/2019 13:00,16.12,18.7,10.1,3.69,15.93
01/01/2019 14:00,14.83,21.05,8.43,2.379,16.56
01/01/2019 15:00,14.62,20.88,8.3,2.139,16.72
01/01/2019 16:00,14.2,21.34,7.83,1.99,17.7
01/01/2019 17:00,13.92,21.44,7.45,2.285,17.72
01/01/2019 18:00,11.805,21.25,6.047,4.285,18.39
01/01/2019 19:00,11.266,21.4,6.383,4.844,18.64
01/01/2019 20:00,9.25,22.33,8.5,7.17,19.72
01/01/2019 21:00,9.16,22.44,8.67,7.332,19.8
01/01/2019 22:00,9.43,23.12,10.25,8.76,21.28
01/01/2019 23:00,9.11,23.5,10.52,8.945,21.66
02/01/2019 00:00,7.668,23.38,12.25,11.17,24.11
02/01/2019 01:00,7.715,22.38,12.58,11.48,23.8
02/01/2019 02:00,8.766,20.92,12.65,12.41,23.39
02/01/2019 03:00,8.766,20.94,12.34,12.7,23.39
02/01/2019 04:00,8.94,19.97,11.28,14.36,22.69
02/01/2019 05:00,9.12,19.34,11.305,14.68,22.42
02/01/2019 06:00,9.445,16.94,11.266,16.25,21.66
02/01/2019 07:00,9.42,16.7,10.88,16.47,21.39
02/01/2019 08:00,8.99,15.14,9.055,17.6,20.94
02/01/2019 09:00,8.72,14.74,8.78,17.75,20.84
